Protein,Gene,Cor,Mean_RNA_expr
KLRG1-mh,Klrg1,-0.000684506341355201,4.28860603149552e-05
Ly49D,Klra4,0.000264737899722757,0.00157820701959035
Ly6A-Ly6E,Ly6a,0.200934408980997,1.03829725186125
Ly6A-Ly6E,Ly6e,0.196804045436508,7.29366658661269
Ly6C,Ly6c1,0.000138883979598017,0.0020070676227399
Mac2,Lgals3,0.00392449325339093,8.39767386008852
NK1-1,Nkx1-1,NA,0
Notch,Sbno1,-0.00616493018750421,0.73121590558205
Notch,Notch1,0.0127765653582449,0.111357944213813
Notch,Notch3,-0.00232757045566048,0.000317356846330669
Notch,Notch2,-0.000794489079620147,0.109496689196144
Notch,Dll3,-0.000382591143426095,8.57721206299105e-06
Notch,Dner,-0.000382591143426095,8.57721206299105e-06
Notch,Nrarp,0.00204055167154853,0.000840566782173122
Notch,Notch4,-0.000371223272901071,0.0339228737091296
Notch,Sbno2,-0.0111622729513586,0.643368099632895
P2X7R,P2rx7,0.00570396231537844,0.0194531169588637
PIRA-PIRB,Pirb,0.078124688931544,0.453074072803376
PIRA-PIRB,Pira2,0.00911834792375983,0.00229011562081861
TCRb,Trbv29,NA,0
TCRb,Trbv13-2,-0.000600014826366066,1.71544241259821e-05
TCRb,Trbv13-1,NA,0
TCRb,Trbv12-3,NA,0
TCRb,Trbv12-2,NA,0
TCRb,Trbv24,NA,0
TCRb,Trbv12-1,-0.00042427273297,8.57721206299105e-06
TCRb5,Trbv5,NA,0
TCRb8,Trbv8,NA,0
TCRg,Trgj2,NA,0
TCRg2,Trgv2,-0.000326583021756266,4.28860603149552e-05
TCRg3,Trgv3,NA,0
Tim4,Timd4,0.221964500528568,0.0827872508319896
CD4,Cd4,0.136849651935834,0.00888599169725872
CD8a,Cd8a,0.255020243145647,2.10368133941744
Ly6G,Ly6g,-0.0011058740518134,0.000154389817133839
CD200,Cd200,0.287525619941256,2.1083473427797
CD19,Cd19,-0.00167762916987818,0.000463169451401516
CD5,Cd5,0.0386211712854936,0.00940062442103819
CD93,Cd93,-0.000828241206085147,0.000368820118708615
CD274,Cd274,0.246040912637589,3.20035509657941
CD27,Cd27,-0.00133256205647447,0.00972655847943184
CD69,Cd69,0.110527532290588,0.472124060795279
CD86,Cd86,0.344870399540769,5.0496191717844
CD28,Cd28,-0.000546620759801582,0.000385974542834597
MAdCAM1,Madcam1,0.00111196806867868,0.000343088482519642
IRF4,Irf4,0.00194070503270813,0.117301952173466
P2RY12,P2ry12,0.00725257944659636,0.0062270559577315
CD300LG,Cd300lg,0.0104113323991153,0.000274470786015713
CD163,Cd163,0.0190507611518851,0.000231584725700758
CD14,Cd14,0.0800902185331548,0.0792534394620373
CD48,Cd48,0.110512137977729,0.25969224963118
GABRB3,Gabrb3,NA,0
CXCR4,Cxcr4,0.0251223076488247,0.340686863142004
CD36,Cd36,0.00911242287558117,0.436528630733866
CD38,Cd38,0.0708980688516074,0.485264349675781
CD55,Cd55,0.0234438060662171,0.00228153840875562
CD63,Cd63,0.355545189692403,2.45452362164202
CD68,Cd68,0.0176635923985769,0.337316018801249
CD79b,Cd79b,0.000406777222577936,0.00330222664425155
CD83,Cd83,0.0714704232921927,7.63895941263252
CX3CR1,Cx3cr1,-0.00256848714708757,0.00100353381136995
MERTK,Mertk,-0.00177590427456033,0.0511973788039935
XCR1,Xcr1,0.0664688306978742,0.961634130442241
ESAM,Esam,0.0317144640231614,0.0432119943733489
CD200R3,Cd200r3,0.00196415925936569,0.00138950835420455
CD9,Cd9,0.1342529146122,1.65100181836896
CD22,Cd22,0.0277168452015941,0.00519779051017257
TIGIT,Tigit,-0.00160020825601949,0.000128658180944866
CD80,Cd80,0.284163531201374,1.37529591381617
CD226,Cd226,0.0617076912475836,0.0181064946649741
CD34,Cd34,0.00343958390713972,0.00223007513637767
TLR4,Tlr4,-0.00420603660108412,0.00257316361889731
JAML,Jaml,0.0519930995128024,1.1641335300374
DLL1,Dll1,0.0144986306097015,0.0271897622396816
ENPP1,Enpp1,0.00514197540811795,0.00883452842488078
CD2,Cd2,0.0139370842006348,0.00111503756818884
