Gene
Slco5a1
Ogfrl1
Tmem131
Nabp1
Stk17b
Hspd1
Idh1
Acadl
Mreg
Hdlbp
St8sia4
Macir
Dars1
Nav1
Ptprc
Rgs2
Rasal2
Suco
Rcsd1
Uck2
Uap1
Atf6
Slamf7
Ifi207
Ifi211
Ifi205
Atf3
Eif5b
Map4k4
Stat1
Hspe1
Cflar
Nop58
Icos
Sp140
Inpp5d
Sned1
Rab7b
Slc41a1
Csrp1
Kif21b
Dennd1b
Tpr
Niban1
4930523C07Rik
Creg1
F11r
Tagln2
Ifi209
Eprs1
Tnfaip3
Myb
Ncoa7
Slc29a3
Srgn
Trpm2
Hsp90b1
Spic
Tmpo
Plxnc1
Glipr1
Rab21
Rassf3
Zc3h12d
Ifngr1
Fyn
Pkib
Smpdl3a
Ranbp2
Psap
Ppa1
Adora2a
Cnn2
Dot1l
Txnrd1
Chst11
Tmcc3
Atp2b1
Zfc3h1
Tmbim4
Stat2
Myo1g
Tns3
Plek
Rel
Sptbn1
Sqstm1
Hspa4
Rad50
Anxa6
Atox1
Kdm6b
Abr
Ccl5
Vmp1
Dhx40
Arl5c
Top2a
Ccr7
Jup
Map3k14
Slc16a6
Cbx4
Ikzf1
Ccdc88a
Lcp2
Il12b
Adam19
Havcr2
Irf1
G3bp1
Pik3r5
Tm4sf5
Pitpna
Slfn5
Slfn2
Ccl4
Trim25
Stat5a
Arf2
Gna13
Cd300a
Septin9
Rnf213
Lpin1
Id2
Rsad2
Ahr
Tspan13
Bzw2
Scin
Ifrd1
Baz1a
Nfkbia
Rtn1
Zfp36l1
Actn1
Mideas
Npc2
Tmed10
Gtf2a1
Foxn3
Lgmn
Asb2
Hsp90aa1
Smc6
Cyria
Odc1
Nampt
Arid4a
Daam1
Zbtb1
Jdp2
Batf
Gm19951
Calm1
Serpina3g
Vrk1
Evl
Crip1
Net1
Pfkp
Slc22a23
Atxn1
Dek
Nfil3
Hk3
Macroh2a1
Iqgap2
Hmgcr
Pik3r1
Gdi2
Lyst
H2bc4
Irf4
Serpinb6b
Serpinb9
Ly86
Gcnt2
Jarid2
Mylip
Pcbd2
Lpcat1
Arsb
Plpp1
Hmgcs1
Atxn7
Flnb
Gng2
Wdfy4
Ccser2
Ddhd1
Gch1
Phf11a
Kpna3
Dleu2
Dock5
Itm2b
Dnajc15
Tbc1d4
Mycbp2
Gpr183
Dnase1l3
Arhgef3
Selenok
Tkt
Arhgap22
Lgals3
Ktn1
Arhgef40
Kif13b
Trim35
Lcp1
Epsti1
Uchl3
Dnajc3
Mbnl2
Il7r
Basp1
Otulinl
Ankrd33b
Rad21
Cyrib
Sla
Ndrg1
Apol7c
Apol10b
Myh9
Csf2rb2
5031439G07Rik
Slc38a1
Slc38a2
Adcy6
Lima1
Cbx5
Oxct1
Fyb1
Mtdh
Laptm4b
Fam91a1
Gm8221
Csf2rb
Cyth4
Gtpbp1
Cacnb3
Tuba1c
Slc4a8
Tamalin
Nr4a1
Pde1b
Gspt1
Dnm1l
2510009E07Rik
P3h2
Nrros
Parp14
Dtx3l
Cd86
Poglut1
Arhgap31
Atp6v1a
Cd200
Bbx
Alcam
Nfkbiz
Arl6
Samsn1
Nrip1
App
Runx1
Mx1
Ciita
B3gnt5
Lpp
Ildr1
Cd80
Zbtb20
Naa50
Gcsam
Cblb
Filip1l
Usp25
Mir155hg
Ets2
Igf2r
Mmp25
Tnf
H2-M2
Cd2ap
Hsp90ab1
Rftn1
Arhgap28
Smchd1
Eif2ak2
Cdc42ep3
Slc8a1
Calm2
Tagap
Agpat4
Pacsin1
Cdkn1a
Abcg1
Myo1f
H2-DMb1
H2-Ab1
H2-Eb1
H2-Eb2
Trerf1
Ccnd3
Treml4
Vav1
Rasgrp3
Eml4
Crem
Map3k8
Epc1
Lars1
Slc26a2
Smad4
Wac
Snrpd1
Snx2
Gramd2b
Lmnb1
Malt1
Pmaip1
Tubb6
Smad7
Slc66a2
Cyb5a
Malat1
Insl6
Plgrkt
Lipa
Pik3ap1
Got1
Sh3pxd2a
Chka
Ehd1
Atl3
Plaat3
Zfand5
Dock8
Cd274
Pdcd1lg2
Papss2
Fas
Ifit2
Pcgf5
Hells
Mxi1
Dusp5
Smc3
Tcf7l2
Hspa14
Camk1d
Celf2
Pfkfb3
Dnajc1
Traf1
Ggta1
Nr4a2
Cytip
Ly75
Ifih1
Stk39
Wipf1
Nfe2l2
Prr5l
Cd44
Ehf
Cat
Il1b
Rassf2
Gpcpd1
Jag1
Rrbp1
Snx5
Bcl2l1
Samhd1
Sdc4
Prex1
Znfx1
Pmepa1
Fam107b
Frmd4a
Il15ra
Vim
Hspa5
Rif1
Gpd2
Gca
Nostrin
Hat1
Itga4
Ckap5
Spred1
Pdia3
Sema6d
Bcl2l11
Dstn
Procr
Src
Top1
Cd40
Ptpn1
Mrps28
Gyg1
Gnb4
Gpr171
P2ry14
Fnip2
Lmna
Plekho1
Atp1a1
Mab21l3
I830077J02Rik
Cd53
Stxbp3
Vcam1
Fnbp1l
Acadm
Zbtb10
Skil
Mbnl1
Tiparp
Smc4
Etv3
S100a11
Rnf115
Ptpn22
Vav3
Gclm
Gbp5
Osgin2
Pnrc1
Ttc39b
Cdkn2b
Nasp
Kdm4a
Themis2
Clic4
Tmem51
Tnfrsf1b
Pik3cd
Slc25a33
Spsb1
Lyn
Chd7
Gem
Rragd
Glipr2
Clta
Galnt12
Nr4a3
Col27a1
Pde4b
Ttc39a
Prdx1
Hivep3
Ppt1
Inpp5b
Mtf1
Psmb2
Ptafr
Runx3
Ece1
Eif4g3
Casz1
Cyp51
Cdk14
Cd36
Arap2
Rell1
Rfc1
Rbm47
Atp8a1
Cxcl9
Rasgef1b
Tmem150c
Hsd17b11
Abcg3
Gbp8
Fbrsl1
Ssh1
Kdm2b
Vps37b
Rilpl2
Gusb
Adap1
Card11
Mtif3
Ubl3
Hsph1
Cdk6
Akap9
Kmt2e
Nsd2
Pi4k2b
Klf3
Nipal1
Kit
Srp72
Rest
Anxa3
Bmp2k
Aff1
Oasl1
Vsig10
Slc8b1
Orai1
Denr
Baz1b
Lfng
Fscn1
Samd9l
Bmt2
Mtpn
Parp12
Kdm7a
Mkrn1
Ezh2
Nt5c3
Ppm1k
Hk2
Mxd1
Anxa4
Rab7
Frmd4b
Rassf4
Wnk1
Mical3
Cd9
BC035044
Clec7a
Klrk1
Ybx3
Plbd1
Eps8
Strip2
Tax1bp1
Chn2
Herc6
Tnip3
St3gal5
Slc6a6
Itpr1
Bhlhe40
Arl8b
Usp18
Chd4
Clec2i
Clec2d
Clec12a
Clec9a
Bcl2l14
Atf7ip
Irag2
Resf1
Fosb
Relb
Kcnk6
Spint2
Fxyd5
Spty2d1
Chd2
Zfand6
Acer3
Uvrag
Trim30a
Trim30d
Rgs10
Fam53b
Mki67
Tgfb1
Napsa
Akap13
Ctsc
Picalm
Thap12
Fam168a
Fchsd2
Gm57204
Ppfibp2
Wee1
Swap70
Nucb2
Il21r
Itgal
Itgax
Bag3
Ptpre
Lsp1
Rab20
Trappc11
Palld
Msmo1
Ifi30
Il15
Adgre5
Cmc2
Cotl1
Cbfa2t3
Ankrd11
Lamp1
Gsr
Casp3
Marchf1
Hmox1
Dnajb1
Herpud1
Nlrc5
Cpne2
Ccl22
Irf8
Birc2
Aplp2
Ubash3b
Sorl1
Kmt2a
Zc3h12c
Tspan3
Plekho2
Rab8b
Lactb
Tpm1
Phip
Hmgn3
Bcl2a1d
Atp1b3
Rasa2
Zbtb38
Armc8
Xcr1
Tmem123
Ldlr
Vwa5a
Hspa8
Dscaml1
Cadm1
Sema7a
Hexa
Anxa2
Nedd4
Gclc
Bcl2a1a
Ctsh
Slc9a9
Prkar2a
Septin6
Atrx
Tsc22d3
Sat1
Rab9
Gripap1
Atp6ap2
Gpr34
Kdm6a
Wdr44
Msn
P2ry10
Rbbp7
